case_id,benchmark_version,snapshot_date,product_id,drug_codes,din_list,brand_name,language,split,stratum,input,expected_output,evaluation_type,source_metadata
hc_dpd_052b2e7eab7cbd08_en,0.2.0,2026-07-02,hc_dpd_052b2e7eab7cbd08,"[""100684"",""100685"",""100686""]","[""02517450"",""02517469"",""02517477""]",JAMP QUINAPRIL,en,census,multi_variant,"Extract drug-product facts from the Health Canada Drug Product Database source record below. Return only one JSON object with exactly the keys din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status, and company. din, dosage_forms, routes, and schedule must be lists. active_ingredients must be a list of objects with name, strength, and unit keys. Combine distinct facts from every variant and do not infer values.

DPD SOURCE RECORD (ENGLISH)

VARIANT 1
DRUG_CODE: 100684
DIN: 02517450
BRAND_NAME: JAMP QUINAPRIL
ACTIVE_INGREDIENTS:
- NAME=QUINAPRIL (QUINAPRIL HYDROCHLORIDE); STRENGTH=10; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: JAMP PHARMA CORPORATION

VARIANT 2
DRUG_CODE: 100685
DIN: 02517469
BRAND_NAME: JAMP QUINAPRIL
ACTIVE_INGREDIENTS:
- NAME=QUINAPRIL (QUINAPRIL HYDROCHLORIDE); STRENGTH=20; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: JAMP PHARMA CORPORATION

VARIANT 3
DRUG_CODE: 100686
DIN: 02517477
BRAND_NAME: JAMP QUINAPRIL
ACTIVE_INGREDIENTS:
- NAME=QUINAPRIL (QUINAPRIL HYDROCHLORIDE); STRENGTH=40; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: JAMP PHARMA CORPORATION","{""din"":[""02517450"",""02517469"",""02517477""],""brand_name"":""JAMP QUINAPRIL"",""active_ingredients"":[{""name"":""QUINAPRIL (QUINAPRIL HYDROCHLORIDE)"",""strength"":10,""unit"":""MG""},{""name"":""QUINAPRIL (QUINAPRIL HYDROCHLORIDE)"",""strength"":20,""unit"":""MG""},{""name"":""QUINAPRIL (QUINAPRIL HYDROCHLORIDE)"",""strength"":40,""unit"":""MG""}],""dosage_forms"":[""TABLET""],""routes"":[""ORAL""],""schedule"":[""PRESCRIPTION""],""product_status"":""MARKETED"",""company"":""JAMP PHARMA CORPORATION""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[11036,11037,11038],""drug.txt"":[11036,11037,11038],""form.txt"":[11286,11287,11288],""ingred.txt"":[15966,15967,15968],""route.txt"":[13307,13308,13309],""schedule.txt"":[11374,11375,11376],""status.txt"":[44278,44280,44282]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""100684"",""100685"",""100686""],""language"":""en"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_052b2e7eab7cbd08_fr,0.2.0,2026-07-02,hc_dpd_052b2e7eab7cbd08,"[""100684"",""100685"",""100686""]","[""02517450"",""02517469"",""02517477""]",JAMP QUINAPRIL,fr,census,multi_variant,"Extrayez les faits de produit pharmaceutique du dossier source de la Base de données sur les produits pharmaceutiques de Santé Canada ci-dessous. Retournez uniquement un objet JSON avec exactement les clés din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status et company. din, dosage_forms, routes et schedule doivent être des listes. active_ingredients doit être une liste d'objets ayant les clés name, strength et unit. Regroupez les faits distincts de toutes les variantes, sans rien déduire.

DOSSIER SOURCE DPD (FRANÇAIS)

VARIANTE 1
DRUG_CODE: 100684
DIN: 02517450
NOM_COMMERCIAL: JAMP QUINAPRIL
INGRÉDIENTS_ACTIFS:
- NOM=Quinapril (Chlorhydrate de quinapril); CONCENTRATION=10; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: JAMP PHARMA CORPORATION

VARIANTE 2
DRUG_CODE: 100685
DIN: 02517469
NOM_COMMERCIAL: JAMP QUINAPRIL
INGRÉDIENTS_ACTIFS:
- NOM=Quinapril (Chlorhydrate de quinapril); CONCENTRATION=20; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: JAMP PHARMA CORPORATION

VARIANTE 3
DRUG_CODE: 100686
DIN: 02517477
NOM_COMMERCIAL: JAMP QUINAPRIL
INGRÉDIENTS_ACTIFS:
- NOM=Quinapril (Chlorhydrate de quinapril); CONCENTRATION=40; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: JAMP PHARMA CORPORATION","{""din"":[""02517450"",""02517469"",""02517477""],""brand_name"":""JAMP QUINAPRIL"",""active_ingredients"":[{""name"":""Quinapril (Chlorhydrate de quinapril)"",""strength"":10,""unit"":""MG""},{""name"":""Quinapril (Chlorhydrate de quinapril)"",""strength"":20,""unit"":""MG""},{""name"":""Quinapril (Chlorhydrate de quinapril)"",""strength"":40,""unit"":""MG""}],""dosage_forms"":[""Comprimé""],""routes"":[""Orale""],""schedule"":[""Médicaments sur ordonnance""],""product_status"":""COMMERCIALISÉ"",""company"":""JAMP PHARMA CORPORATION""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[11036,11037,11038],""drug.txt"":[11036,11037,11038],""form.txt"":[11286,11287,11288],""ingred.txt"":[15966,15967,15968],""route.txt"":[13307,13308,13309],""schedule.txt"":[11374,11375,11376],""status.txt"":[44278,44280,44282]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""100684"",""100685"",""100686""],""language"":""fr"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_09601c47e11d02fb_en,0.2.0,2026-07-02,hc_dpd_09601c47e11d02fb,"[""1195""]","[""00004715""]",ALKERAN,en,census,single_ingredient,"Extract drug-product facts from the Health Canada Drug Product Database source record below. Return only one JSON object with exactly the keys din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status, and company. din, dosage_forms, routes, and schedule must be lists. active_ingredients must be a list of objects with name, strength, and unit keys. Combine distinct facts from every variant and do not infer values.

DPD SOURCE RECORD (ENGLISH)

VARIANT 1
DRUG_CODE: 1195
DIN: 00004715
BRAND_NAME: ALKERAN
ACTIVE_INGREDIENTS:
- NAME=MELPHALAN; STRENGTH=2; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: ASPEN PHARMACARE CANADA INC.","{""din"":[""00004715""],""brand_name"":""ALKERAN"",""active_ingredients"":[{""name"":""MELPHALAN"",""strength"":2,""unit"":""MG""}],""dosage_forms"":[""TABLET""],""routes"":[""ORAL""],""schedule"":[""PRESCRIPTION""],""product_status"":""MARKETED"",""company"":""ASPEN PHARMACARE CANADA INC.""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[98],""drug.txt"":[98],""form.txt"":[98],""ingred.txt"":[131],""route.txt"":[132],""schedule.txt"":[98],""status.txt"":[671]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""1195""],""language"":""en"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_09601c47e11d02fb_fr,0.2.0,2026-07-02,hc_dpd_09601c47e11d02fb,"[""1195""]","[""00004715""]",ALKERAN,fr,census,single_ingredient,"Extrayez les faits de produit pharmaceutique du dossier source de la Base de données sur les produits pharmaceutiques de Santé Canada ci-dessous. Retournez uniquement un objet JSON avec exactement les clés din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status et company. din, dosage_forms, routes et schedule doivent être des listes. active_ingredients doit être une liste d'objets ayant les clés name, strength et unit. Regroupez les faits distincts de toutes les variantes, sans rien déduire.

DOSSIER SOURCE DPD (FRANÇAIS)

VARIANTE 1
DRUG_CODE: 1195
DIN: 00004715
NOM_COMMERCIAL: ALKERAN
INGRÉDIENTS_ACTIFS:
- NOM=Melphalan; CONCENTRATION=2; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: ASPEN PHARMACARE CANADA INC.","{""din"":[""00004715""],""brand_name"":""ALKERAN"",""active_ingredients"":[{""name"":""Melphalan"",""strength"":2,""unit"":""MG""}],""dosage_forms"":[""Comprimé""],""routes"":[""Orale""],""schedule"":[""Médicaments sur ordonnance""],""product_status"":""COMMERCIALISÉ"",""company"":""ASPEN PHARMACARE CANADA INC.""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[98],""drug.txt"":[98],""form.txt"":[98],""ingred.txt"":[131],""route.txt"":[132],""schedule.txt"":[98],""status.txt"":[671]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""1195""],""language"":""fr"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_09f6716a76b369ef_en,0.2.0,2026-07-02,hc_dpd_09f6716a76b369ef,"[""3429"",""3430""]","[""00481815"",""00481823""]",ROCALTROL,en,census,multi_variant,"Extract drug-product facts from the Health Canada Drug Product Database source record below. Return only one JSON object with exactly the keys din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status, and company. din, dosage_forms, routes, and schedule must be lists. active_ingredients must be a list of objects with name, strength, and unit keys. Combine distinct facts from every variant and do not infer values.

DPD SOURCE RECORD (ENGLISH)

VARIANT 1
DRUG_CODE: 3429
DIN: 00481815
BRAND_NAME: ROCALTROL
ACTIVE_INGREDIENTS:
- NAME=CALCITRIOL; STRENGTH=0.5; UNIT=MCG
DOSAGE_FORMS: CAPSULE
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: SEARCHLIGHT PHARMA INC

VARIANT 2
DRUG_CODE: 3430
DIN: 00481823
BRAND_NAME: ROCALTROL
ACTIVE_INGREDIENTS:
- NAME=CALCITRIOL; STRENGTH=0.25; UNIT=MCG
DOSAGE_FORMS: CAPSULE
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: SEARCHLIGHT PHARMA INC","{""din"":[""00481815"",""00481823""],""brand_name"":""ROCALTROL"",""active_ingredients"":[{""name"":""CALCITRIOL"",""strength"":0.25,""unit"":""MCG""},{""name"":""CALCITRIOL"",""strength"":0.5,""unit"":""MCG""}],""dosage_forms"":[""CAPSULE""],""routes"":[""ORAL""],""schedule"":[""PRESCRIPTION""],""product_status"":""MARKETED"",""company"":""SEARCHLIGHT PHARMA INC""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[275,276],""drug.txt"":[275,276],""form.txt"":[275,276],""ingred.txt"":[393,394],""route.txt"":[347,348],""schedule.txt"":[275,276],""status.txt"":[1534,1535]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""3429"",""3430""],""language"":""en"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_09f6716a76b369ef_fr,0.2.0,2026-07-02,hc_dpd_09f6716a76b369ef,"[""3429"",""3430""]","[""00481815"",""00481823""]",ROCALTROL,fr,census,multi_variant,"Extrayez les faits de produit pharmaceutique du dossier source de la Base de données sur les produits pharmaceutiques de Santé Canada ci-dessous. Retournez uniquement un objet JSON avec exactement les clés din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status et company. din, dosage_forms, routes et schedule doivent être des listes. active_ingredients doit être une liste d'objets ayant les clés name, strength et unit. Regroupez les faits distincts de toutes les variantes, sans rien déduire.

DOSSIER SOURCE DPD (FRANÇAIS)

VARIANTE 1
DRUG_CODE: 3429
DIN: 00481815
NOM_COMMERCIAL: ROCALTROL
INGRÉDIENTS_ACTIFS:
- NOM=Calcitriol; CONCENTRATION=0.5; UNITÉ=MCG
FORMES_PHARMACEUTIQUES: Capsule
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: SEARCHLIGHT PHARMA INC

VARIANTE 2
DRUG_CODE: 3430
DIN: 00481823
NOM_COMMERCIAL: ROCALTROL
INGRÉDIENTS_ACTIFS:
- NOM=Calcitriol; CONCENTRATION=0.25; UNITÉ=MCG
FORMES_PHARMACEUTIQUES: Capsule
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: SEARCHLIGHT PHARMA INC","{""din"":[""00481815"",""00481823""],""brand_name"":""ROCALTROL"",""active_ingredients"":[{""name"":""Calcitriol"",""strength"":0.25,""unit"":""MCG""},{""name"":""Calcitriol"",""strength"":0.5,""unit"":""MCG""}],""dosage_forms"":[""Capsule""],""routes"":[""Orale""],""schedule"":[""Médicaments sur ordonnance""],""product_status"":""COMMERCIALISÉ"",""company"":""SEARCHLIGHT PHARMA INC""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[275,276],""drug.txt"":[275,276],""form.txt"":[275,276],""ingred.txt"":[393,394],""route.txt"":[347,348],""schedule.txt"":[275,276],""status.txt"":[1534,1535]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""3429"",""3430""],""language"":""fr"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_0b6dda3d0c785b6f_en,0.2.0,2026-07-02,hc_dpd_0b6dda3d0c785b6f,"[""77090""]","[""02285401""]",TYGACIL,en,census,single_ingredient,"Extract drug-product facts from the Health Canada Drug Product Database source record below. Return only one JSON object with exactly the keys din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status, and company. din, dosage_forms, routes, and schedule must be lists. active_ingredients must be a list of objects with name, strength, and unit keys. Combine distinct facts from every variant and do not infer values.

DPD SOURCE RECORD (ENGLISH)

VARIANT 1
DRUG_CODE: 77090
DIN: 02285401
BRAND_NAME: TYGACIL
ACTIVE_INGREDIENTS:
- NAME=TIGECYCLINE; STRENGTH=50; UNIT=MG
DOSAGE_FORMS: POWDER FOR SOLUTION
ROUTES: INTRAVENOUS
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: PFIZER CANADA ULC","{""din"":[""02285401""],""brand_name"":""TYGACIL"",""active_ingredients"":[{""name"":""TIGECYCLINE"",""strength"":50,""unit"":""MG""}],""dosage_forms"":[""POWDER FOR SOLUTION""],""routes"":[""INTRAVENOUS""],""schedule"":[""PRESCRIPTION""],""product_status"":""MARKETED"",""company"":""PFIZER CANADA ULC""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[3895],""drug.txt"":[3895],""form.txt"":[3934],""ingred.txt"":[5629],""route.txt"":[4643],""schedule.txt"":[3958],""status.txt"":[20401]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""77090""],""language"":""en"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_0b6dda3d0c785b6f_fr,0.2.0,2026-07-02,hc_dpd_0b6dda3d0c785b6f,"[""77090""]","[""02285401""]",TYGACIL,fr,census,single_ingredient,"Extrayez les faits de produit pharmaceutique du dossier source de la Base de données sur les produits pharmaceutiques de Santé Canada ci-dessous. Retournez uniquement un objet JSON avec exactement les clés din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status et company. din, dosage_forms, routes et schedule doivent être des listes. active_ingredients doit être une liste d'objets ayant les clés name, strength et unit. Regroupez les faits distincts de toutes les variantes, sans rien déduire.

DOSSIER SOURCE DPD (FRANÇAIS)

VARIANTE 1
DRUG_CODE: 77090
DIN: 02285401
NOM_COMMERCIAL: TYGACIL
INGRÉDIENTS_ACTIFS:
- NOM=Tigécycline; CONCENTRATION=50; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Poudre pour solution
VOIES_ADMINISTRATION: Intraveineuse
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: PFIZER CANADA ULC","{""din"":[""02285401""],""brand_name"":""TYGACIL"",""active_ingredients"":[{""name"":""Tigécycline"",""strength"":50,""unit"":""MG""}],""dosage_forms"":[""Poudre pour solution""],""routes"":[""Intraveineuse""],""schedule"":[""Médicaments sur ordonnance""],""product_status"":""COMMERCIALISÉ"",""company"":""PFIZER CANADA ULC""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[3895],""drug.txt"":[3895],""form.txt"":[3934],""ingred.txt"":[5629],""route.txt"":[4643],""schedule.txt"":[3958],""status.txt"":[20401]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""77090""],""language"":""fr"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_0b7e8388380e62b9_en,0.2.0,2026-07-02,hc_dpd_0b7e8388380e62b9,"[""88390"",""88391"",""88392"",""88393""]","[""02398990"",""02399008"",""02399016"",""02399024""]",BYSTOLIC,en,census,multi_variant,"Extract drug-product facts from the Health Canada Drug Product Database source record below. Return only one JSON object with exactly the keys din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status, and company. din, dosage_forms, routes, and schedule must be lists. active_ingredients must be a list of objects with name, strength, and unit keys. Combine distinct facts from every variant and do not infer values.

DPD SOURCE RECORD (ENGLISH)

VARIANT 1
DRUG_CODE: 88390
DIN: 02398990
BRAND_NAME: BYSTOLIC
ACTIVE_INGREDIENTS:
- NAME=NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE); STRENGTH=2.5; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: ABBVIE CORPORATION

VARIANT 2
DRUG_CODE: 88391
DIN: 02399008
BRAND_NAME: BYSTOLIC
ACTIVE_INGREDIENTS:
- NAME=NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE); STRENGTH=5; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: ABBVIE CORPORATION

VARIANT 3
DRUG_CODE: 88392
DIN: 02399016
BRAND_NAME: BYSTOLIC
ACTIVE_INGREDIENTS:
- NAME=NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE); STRENGTH=10; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: ABBVIE CORPORATION

VARIANT 4
DRUG_CODE: 88393
DIN: 02399024
BRAND_NAME: BYSTOLIC
ACTIVE_INGREDIENTS:
- NAME=NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE); STRENGTH=20; UNIT=MG
DOSAGE_FORMS: TABLET
ROUTES: ORAL
SCHEDULES: PRESCRIPTION
PRODUCT_STATUS: MARKETED
COMPANY: ABBVIE CORPORATION","{""din"":[""02398990"",""02399008"",""02399016"",""02399024""],""brand_name"":""BYSTOLIC"",""active_ingredients"":[{""name"":""NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE)"",""strength"":2.5,""unit"":""MG""},{""name"":""NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE)"",""strength"":5,""unit"":""MG""},{""name"":""NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE)"",""strength"":10,""unit"":""MG""},{""name"":""NEBIVOLOL (NEBIVOLOL HYDROCHLORIDE)"",""strength"":20,""unit"":""MG""}],""dosage_forms"":[""TABLET""],""routes"":[""ORAL""],""schedule"":[""PRESCRIPTION""],""product_status"":""MARKETED"",""company"":""ABBVIE CORPORATION""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[6377,6378,6379,6380],""drug.txt"":[6377,6378,6379,6380],""form.txt"":[6462,6463,6464,6465],""ingred.txt"":[9138,9139,9140,9141],""route.txt"":[7538,7539,7540,7541],""schedule.txt"":[6497,6498,6499,6500],""status.txt"":[30444,30452,30458,30466]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""88390"",""88391"",""88392"",""88393""],""language"":""en"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
hc_dpd_0b7e8388380e62b9_fr,0.2.0,2026-07-02,hc_dpd_0b7e8388380e62b9,"[""88390"",""88391"",""88392"",""88393""]","[""02398990"",""02399008"",""02399016"",""02399024""]",BYSTOLIC,fr,census,multi_variant,"Extrayez les faits de produit pharmaceutique du dossier source de la Base de données sur les produits pharmaceutiques de Santé Canada ci-dessous. Retournez uniquement un objet JSON avec exactement les clés din, brand_name, active_ingredients, dosage_forms, routes, schedule, product_status et company. din, dosage_forms, routes et schedule doivent être des listes. active_ingredients doit être une liste d'objets ayant les clés name, strength et unit. Regroupez les faits distincts de toutes les variantes, sans rien déduire.

DOSSIER SOURCE DPD (FRANÇAIS)

VARIANTE 1
DRUG_CODE: 88390
DIN: 02398990
NOM_COMMERCIAL: BYSTOLIC
INGRÉDIENTS_ACTIFS:
- NOM=Nébivolol (Chlorhydrate de Nébivolol); CONCENTRATION=2.5; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: ABBVIE CORPORATION

VARIANTE 2
DRUG_CODE: 88391
DIN: 02399008
NOM_COMMERCIAL: BYSTOLIC
INGRÉDIENTS_ACTIFS:
- NOM=Nébivolol (Chlorhydrate de Nébivolol); CONCENTRATION=5; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: ABBVIE CORPORATION

VARIANTE 3
DRUG_CODE: 88392
DIN: 02399016
NOM_COMMERCIAL: BYSTOLIC
INGRÉDIENTS_ACTIFS:
- NOM=Nébivolol (Chlorhydrate de Nébivolol); CONCENTRATION=10; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: ABBVIE CORPORATION

VARIANTE 4
DRUG_CODE: 88393
DIN: 02399024
NOM_COMMERCIAL: BYSTOLIC
INGRÉDIENTS_ACTIFS:
- NOM=Nébivolol (Chlorhydrate de Nébivolol); CONCENTRATION=20; UNITÉ=MG
FORMES_PHARMACEUTIQUES: Comprimé
VOIES_ADMINISTRATION: Orale
ANNEXES: Médicaments sur ordonnance
ÉTAT_DU_PRODUIT: COMMERCIALISÉ
ENTREPRISE: ABBVIE CORPORATION","{""din"":[""02398990"",""02399008"",""02399016"",""02399024""],""brand_name"":""BYSTOLIC"",""active_ingredients"":[{""name"":""Nébivolol (Chlorhydrate de Nébivolol)"",""strength"":2.5,""unit"":""MG""},{""name"":""Nébivolol (Chlorhydrate de Nébivolol)"",""strength"":5,""unit"":""MG""},{""name"":""Nébivolol (Chlorhydrate de Nébivolol)"",""strength"":10,""unit"":""MG""},{""name"":""Nébivolol (Chlorhydrate de Nébivolol)"",""strength"":20,""unit"":""MG""}],""dosage_forms"":[""Comprimé""],""routes"":[""Orale""],""schedule"":[""Médicaments sur ordonnance""],""product_status"":""COMMERCIALISÉ"",""company"":""ABBVIE CORPORATION""}",json,"{""archive_file_id"":""dpd_marketed_archive"",""archive_members"":{""comp.txt"":[6377,6378,6379,6380],""drug.txt"":[6377,6378,6379,6380],""form.txt"":[6462,6463,6464,6465],""ingred.txt"":[9138,9139,9140,9141],""route.txt"":[7538,7539,7540,7541],""schedule.txt"":[6497,6498,6499,6500],""status.txt"":[30444,30452,30458,30466]},""archive_sha256"":""94c8ef8639fd07eea9c134d8ede137d77574d4ae6761955f5aa582558ec38b25"",""drug_codes"":[""88390"",""88391"",""88392"",""88393""],""language"":""fr"",""source_dataset_id"":""hc_dpd_source_snapshot"",""source_dataset_version"":""2026.7.2"",""source_manifest_sha256"":""f674732805de6a311d5882c2e7e33747a7e214beb123d9e42c944e1ad195eba0""}"
