model_name,language,error_type,count,share_of_failures,share_of_cases
gpt_5_4_mini,all,schema_type_only,2898,0.903648269411,0.206498503634
gpt_5_4_mini,all,duplicate_items_only,189,0.0589335827877,0.0134672937153
gpt_5_4_mini,all,text_or_value_error,71,0.0221390707827,0.00505914208351
gpt_5_4_mini,all,compound_label_split_only,37,0.0115372622389,0.00263645432521
gpt_5_4_mini,all,schema_and_duplicates,8,0.00249454318678,0.000570044178424
gpt_5_4_mini,all,schema_and_label_split,4,0.00124727159339,0.000285022089212
gpt_5_4_mini,en,schema_type_only,1848,0.91124260355,0.263360410432
gpt_5_4_mini,en,duplicate_items_only,97,0.0478303747535,0.0138235713268
gpt_5_4_mini,en,text_or_value_error,55,0.0271203155819,0.00783810745333
gpt_5_4_mini,en,compound_label_split_only,22,0.0108481262327,0.00313524298133
gpt_5_4_mini,en,schema_and_duplicates,3,0.00147928994083,0.000427533133818
gpt_5_4_mini,en,schema_and_label_split,3,0.00147928994083,0.000427533133818
gpt_5_4_mini,fr,schema_type_only,1050,0.89058524173,0.149636596836
gpt_5_4_mini,fr,duplicate_items_only,92,0.078032230704,0.0131110161037
gpt_5_4_mini,fr,text_or_value_error,16,0.0135708227311,0.0022801767137
gpt_5_4_mini,fr,compound_label_split_only,15,0.0127226463104,0.00213766566909
gpt_5_4_mini,fr,schema_and_duplicates,5,0.00424088210348,0.00071255522303
gpt_5_4_mini,fr,schema_and_label_split,1,0.000848176420696,0.000142511044606
gpt_5_6_luna,all,schema_type_only,3144,0.932384341637,0.224027362121
gpt_5_6_luna,all,text_or_value_error,108,0.0320284697509,0.00769559640872
gpt_5_6_luna,all,duplicate_items_only,43,0.0127520759193,0.00306398745903
gpt_5_6_luna,all,schema_and_duplicates,38,0.0112692763938,0.00270770984751
gpt_5_6_luna,all,compound_label_split_only,27,0.00800711743772,0.00192389910218
gpt_5_6_luna,all,schema_and_label_split,12,0.00355871886121,0.000855066267636
gpt_5_6_luna,en,schema_type_only,930,0.930930930931,0.132535271484
gpt_5_6_luna,en,duplicate_items_only,29,0.029029029029,0.00413282029357
gpt_5_6_luna,en,text_or_value_error,17,0.017017017017,0.0024226877583
gpt_5_6_luna,en,schema_and_label_split,12,0.012012012012,0.00171013253527
gpt_5_6_luna,en,compound_label_split_only,8,0.00800800800801,0.00114008835685
gpt_5_6_luna,en,schema_and_duplicates,3,0.003003003003,0.000427533133818
gpt_5_6_luna,fr,schema_type_only,2214,0.932996207332,0.315519452758
gpt_5_6_luna,fr,text_or_value_error,91,0.0383480825959,0.0129685050591
gpt_5_6_luna,fr,schema_and_duplicates,35,0.0147492625369,0.00498788656121
gpt_5_6_luna,fr,compound_label_split_only,19,0.00800674252002,0.00270770984751
gpt_5_6_luna,fr,duplicate_items_only,14,0.00589970501475,0.00199515462448
gpt_5_6_terra,all,compound_label_split_only,26,0.541666666667,0.00185264357988
gpt_5_6_terra,all,text_or_value_error,14,0.291666666667,0.000997577312242
gpt_5_6_terra,all,duplicate_items_only,5,0.104166666667,0.000356277611515
gpt_5_6_terra,all,schema_type_only,3,0.0625,0.000213766566909
gpt_5_6_terra,en,compound_label_split_only,25,0.694444444444,0.00356277611515
gpt_5_6_terra,en,text_or_value_error,9,0.25,0.00128259940145
gpt_5_6_terra,en,duplicate_items_only,2,0.0555555555556,0.000285022089212
gpt_5_6_terra,fr,text_or_value_error,5,0.416666666667,0.00071255522303
gpt_5_6_terra,fr,duplicate_items_only,3,0.25,0.000427533133818
gpt_5_6_terra,fr,schema_type_only,3,0.25,0.000427533133818
gpt_5_6_terra,fr,compound_label_split_only,1,0.0833333333333,0.000142511044606
gpt_5_6_sol,all,text_or_value_error,7,0.538461538462,0.000498788656121
gpt_5_6_sol,all,duplicate_items_only,5,0.384615384615,0.000356277611515
gpt_5_6_sol,all,compound_label_split_only,1,0.0769230769231,7.1255522303e-05
gpt_5_6_sol,en,text_or_value_error,4,0.5,0.000570044178424
gpt_5_6_sol,en,duplicate_items_only,3,0.375,0.000427533133818
gpt_5_6_sol,en,compound_label_split_only,1,0.125,0.000142511044606
gpt_5_6_sol,fr,text_or_value_error,3,0.6,0.000427533133818
gpt_5_6_sol,fr,duplicate_items_only,2,0.4,0.000285022089212
