model_name,language,field_name,cases,matching_cases,mismatched_cases,field_accuracy
gpt_5_4_mini,all,din,14034,14034,0,1
gpt_5_4_mini,all,brand_name,14034,11122,2912,0.792503919054
gpt_5_4_mini,all,active_ingredients,14034,13783,251,0.982114863902
gpt_5_4_mini,all,dosage_forms,14034,13987,47,0.996650990452
gpt_5_4_mini,all,routes,14034,14032,2,0.999857488955
gpt_5_4_mini,all,schedule,14034,14029,5,0.999643722388
gpt_5_4_mini,all,product_status,14034,11520,2514,0.82086361693
gpt_5_4_mini,all,company,14034,11169,2865,0.795852928602
gpt_5_4_mini,all,__schema_contract__,14034,14034,0,1
gpt_5_4_mini,en,din,7017,7017,0,1
gpt_5_4_mini,en,brand_name,7017,5161,1856,0.735499501211
gpt_5_4_mini,en,active_ingredients,7017,6870,147,0.979050876443
gpt_5_4_mini,en,dosage_forms,7017,6986,31,0.995582157617
gpt_5_4_mini,en,routes,7017,7017,0,1
gpt_5_4_mini,en,schedule,7017,7017,0,1
gpt_5_4_mini,en,product_status,7017,5545,1472,0.79022374234
gpt_5_4_mini,en,company,7017,5206,1811,0.741912498219
gpt_5_4_mini,en,__schema_contract__,7017,7017,0,1
gpt_5_4_mini,fr,din,7017,7017,0,1
gpt_5_4_mini,fr,brand_name,7017,5961,1056,0.849508336896
gpt_5_4_mini,fr,active_ingredients,7017,6913,104,0.985178851361
gpt_5_4_mini,fr,dosage_forms,7017,7001,16,0.997719823286
gpt_5_4_mini,fr,routes,7017,7015,2,0.999714977911
gpt_5_4_mini,fr,schedule,7017,7012,5,0.999287444777
gpt_5_4_mini,fr,product_status,7017,5975,1042,0.851503491521
gpt_5_4_mini,fr,company,7017,5963,1054,0.849793358985
gpt_5_4_mini,fr,__schema_contract__,7017,7017,0,1
gpt_5_6_luna,all,din,14034,13431,603,0.957032920051
gpt_5_6_luna,all,brand_name,14034,13597,437,0.968861336754
gpt_5_6_luna,all,active_ingredients,14034,13879,155,0.988955394043
gpt_5_6_luna,all,dosage_forms,14034,13988,46,0.996722245974
